brick/math                         0.12.1  Arbitrary-precision arithmetic l...
carbonphp/carbon-doctrine-types    3.2.0   Types to use Carbon in Doctrine
dflydev/dot-access-data            3.0.3   Given a deep data structure, acc...
doctrine/inflector                 2.0.10  PHP Doctrine Inflector is a smal...
doctrine/lexer                     3.0.1   PHP Doctrine Lexer parser librar...
dragonmantank/cron-expression      3.4.0   CRON for PHP: Calculate the next...
egulias/email-validator            4.0.2   A library for validating emails ...
fakerphp/faker                     1.23.1  Faker is a PHP library that gene...
filp/whoops                        2.16.0  php error handling for cool kids
fruitcake/php-cors                 1.3.0   Cross-origin resource sharing li...
graham-campbell/result-type        1.1.3   An Implementation Of The Result ...
guzzlehttp/guzzle                  7.9.2   Guzzle is a PHP HTTP client library
guzzlehttp/promises                2.0.4   Guzzle promises library
guzzlehttp/psr7                    2.7.0   PSR-7 message implementation tha...
guzzlehttp/uri-template            1.0.3   A polyfill class for uri_templat...
hamcrest/hamcrest-php              2.0.1   This is the PHP port of Hamcrest...
laravel/breeze                     2.2.4   Minimal Laravel authentication s...
laravel/framework                  11.30.0 The Laravel Framework.
laravel/pail                       1.2.0   Easily delve into your Laravel a...
laravel/pint                       1.18.1  An opinionated code formatter fo...
laravel/prompts                    0.3.1   Add beautiful and user-friendly ...
laravel/sail                       1.37.1  Docker files for running a basic...
laravel/serializable-closure       1.3.5   Laravel Serializable Closure pro...
laravel/tinker                     2.10.0  Powerful REPL for the Laravel fr...
league/commonmark                  2.5.3   Highly-extensible PHP Markdown p...
league/config                      1.2.0   Define configuration arrays with...
league/flysystem                   3.29.1  File storage abstraction for PHP
league/flysystem-local             3.29.0  Local filesystem adapter for Fly...
league/mime-type-detection         1.16.0  Mime-type detection for Flysystem
mockery/mockery                    1.6.12  Mockery is a simple yet flexible...
monolog/monolog                    3.7.0   Sends your logs to files, socket...
myclabs/deep-copy                  1.12.0  Create deep copies (clones) of y...
nesbot/carbon                      3.8.2   An API extension for DateTime th...
nette/schema                       1.3.2   📐 Nette Schema: validating da...
nette/utils                        4.0.5   🛠  Nette Utils: lightweight u...
nikic/php-parser                   5.3.1   A PHP parser written in PHP
nunomaduro/collision               8.5.0   Cli error handling for console/c...
nunomaduro/termwind                2.2.0   Its like Tailwind CSS, but for t...
phar-io/manifest                   2.0.4   Component for reading phar.io ma...
phar-io/version                    3.2.1   Library for handling version inf...
phpoption/phpoption                1.9.3   Option Type for PHP
phpunit/php-code-coverage          11.0.7  Library that provides collection...
phpunit/php-file-iterator          5.1.0   FilterIterator implementation th...
phpunit/php-invoker                5.0.1   Invoke callables with a timeout
phpunit/php-text-template          4.0.1   Simple template engine.
phpunit/php-timer                  7.0.1   Utility class for timing
phpunit/phpunit                    11.4.3  The PHP Unit Testing framework.
psr/clock                          1.0.0   Common interface for reading the...
psr/container                      2.0.2   Common Container Interface (PHP ...
psr/event-dispatcher               1.0.0   Standard interfaces for event ha...
psr/http-client                    1.0.3   Common interface for HTTP clients
psr/http-factory                   1.1.0   PSR-17: Common interfaces for PS...
psr/http-message                   2.0     Common interface for HTTP messages
psr/log                            3.0.2   Common interface for logging lib...
psr/simple-cache                   3.0.0   Common interfaces for simple cac...
psy/psysh                          0.12.4  An interactive shell for modern ...
ralouphie/getallheaders            3.0.3   A polyfill for getallheaders.
ramsey/collection                  2.0.0   A PHP library for representing a...
ramsey/uuid                        4.7.6   A PHP library for generating and...
sebastian/cli-parser               3.0.2   Library for parsing CLI options
sebastian/code-unit                3.0.1   Collection of value objects that...
sebastian/code-unit-reverse-lookup 4.0.1   Looks up which function or metho...
sebastian/comparator               6.2.1   Provides the functionality to co...
sebastian/complexity               4.0.1   Library for calculating the comp...
sebastian/diff                     6.0.2   Diff implementation
sebastian/environment              7.2.0   Provides functionality to handle...
sebastian/exporter                 6.1.3   Provides the functionality to ex...
sebastian/global-state             7.0.2   Snapshotting of global state
sebastian/lines-of-code            3.0.1   Library for counting the lines o...
sebastian/object-enumerator        6.0.1   Traverses array structures and o...
sebastian/object-reflector         4.0.1   Allows reflection of object attr...
sebastian/recursion-context        6.0.2   Provides functionality to recurs...
sebastian/type                     5.1.0   Collection of value objects that...
sebastian/version                  5.0.2   Library that helps with managing...
symfony/clock                      7.1.6   Decouples applications from the ...
symfony/console                    7.1.7   Eases the creation of beautiful ...
symfony/css-selector               7.1.6   Converts CSS selectors to XPath ...
symfony/deprecation-contracts      3.5.0   A generic function and conventio...
symfony/error-handler              7.1.7   Provides tools to manage errors ...
symfony/event-dispatcher           7.1.6   Provides tools that allow your a...
symfony/event-dispatcher-contracts 3.5.0   Generic abstractions related to ...
symfony/finder                     7.1.6   Finds files and directories via ...
symfony/http-foundation            7.1.7   Defines an object-oriented layer...
symfony/http-kernel                7.1.7   Provides a structured process fo...
symfony/mailer                     7.1.6   Helps sending emails
symfony/mime                       7.1.6   Allows manipulating MIME messages
symfony/polyfill-ctype             1.31.0  Symfony polyfill for ctype funct...
symfony/polyfill-intl-grapheme     1.31.0  Symfony polyfill for intl's grap...
symfony/polyfill-intl-idn          1.31.0  Symfony polyfill for intl's idn_...
symfony/polyfill-intl-normalizer   1.31.0  Symfony polyfill for intl's Norm...
symfony/polyfill-mbstring          1.31.0  Symfony polyfill for the Mbstrin...
symfony/polyfill-php80             1.31.0  Symfony polyfill backporting som...
symfony/polyfill-php83             1.31.0  Symfony polyfill backporting som...
symfony/polyfill-uuid              1.31.0  Symfony polyfill for uuid functions
symfony/process                    7.1.7   Executes commands in sub-processes
symfony/routing                    7.1.6   Maps an HTTP request to a set of...
symfony/service-contracts          3.5.0   Generic abstractions related to ...
symfony/string                     7.1.6   Provides an object-oriented API ...
symfony/translation                7.1.6   Provides tools to internationali...
symfony/translation-contracts      3.5.0   Generic abstractions related to ...
symfony/uid                        7.1.6   Provides an object-oriented API ...
symfony/var-dumper                 7.1.7   Provides mechanisms for walking ...
symfony/yaml                       7.1.6   Loads and dumps YAML files
theseer/tokenizer                  1.2.3   A small library for converting t...
tijsverkoyen/css-to-inline-styles  2.2.7   CssToInlineStyles is a class tha...
vlucas/phpdotenv                   5.6.1   Loads environment variables from...
voku/portable-ascii                2.0.1   Portable ASCII library - perform...
webmozart/assert                   1.11.0  Assertions to validate method in...
